Country/Region,Province/State,Lat,Long,Date,Cases,Deaths,Continent
Albania,,41.1533,20.1683,5/1/20,782,488,Europe
Albania,,41.1533,20.1683,5/2/20,789,519,Europe
Albania,,41.1533,20.1683,5/3/20,795,531,Europe
Albania,,41.1533,20.1683,5/4/20,803,543,Europe
Albania,,41.1533,20.1683,5/5/20,820,570,Europe
Albania,,41.1533,20.1683,5/6/20,832,595,Europe
Albania,,41.1533,20.1683,5/7/20,842,605,Europe
Albania,,41.1533,20.1683,5/8/20,850,620,Europe
Albania,,41.1533,20.1683,5/9/20,856,627,Europe
Albania,,41.1533,20.1683,5/10/20,868,650,Europe
Albania,,41.1533,20.1683,5/11/20,872,654,Europe
Albania,,41.1533,20.1683,5/12/20,876,682,Europe
Albania,,41.1533,20.1683,5/13/20,880,688,Europe
Albania,,41.1533,20.1683,5/14/20,898,694,Europe
Albania,,41.1533,20.1683,5/15/20,916,705,Europe
Albania,,41.1533,20.1683,5/16/20,933,714,Europe
Albania,,41.1533,20.1683,5/17/20,946,715,Europe
Albania,,41.1533,20.1683,5/18/20,948,727,Europe
Albania,,41.1533,20.1683,5/19/20,949,742,Europe
Albania,,41.1533,20.1683,5/20/20,964,758,Europe
Albania,,41.1533,20.1683,5/21/20,969,771,Europe
Albania,,41.1533,20.1683,5/22/20,981,777,Europe
Albania,,41.1533,20.1683,5/23/20,989,783,Europe
Albania,,41.1533,20.1683,5/24/20,998,789,Europe
Albania,,41.1533,20.1683,5/25/20,1004,795,Europe
Albania,,41.1533,20.1683,5/26/20,1029,803,Europe
Albania,,41.1533,20.1683,5/27/20,1050,812,Europe
Albania,,41.1533,20.1683,5/28/20,1076,823,Europe
Albania,,41.1533,20.1683,5/29/20,1099,851,Europe
Albania,,41.1533,20.1683,5/30/20,1122,857,Europe
Algeria,,28.0339,1.6596,1/22/20,0,0,Africa
Algeria,,28.0339,1.6596,1/23/20,0,0,Africa
Algeria,,28.0339,1.6596,1/24/20,0,0,Africa
Algeria,,28.0339,1.6596,1/25/20,0,0,Africa
Algeria,,28.0339,1.6596,1/26/20,0,0,Africa
Algeria,,28.0339,1.6596,1/27/20,0,0,Africa
Algeria,,28.0339,1.6596,1/28/20,0,0,Africa
Algeria,,28.0339,1.6596,1/29/20,0,0,Africa
Algeria,,28.0339,1.6596,1/30/20,0,0,Africa
Algeria,,28.0339,1.6596,1/31/20,0,0,Africa
Algeria,,28.0339,1.6596,2/1/20,0,0,Africa
Algeria,,28.0339,1.6596,2/2/20,0,0,Africa
Algeria,,28.0339,1.6596,2/3/20,0,0,Africa
Algeria,,28.0339,1.6596,2/4/20,0,0,Africa
Algeria,,28.0339,1.6596,2/5/20,0,0,Africa
Algeria,,28.0339,1.6596,2/6/20,0,0,Africa
Algeria,,28.0339,1.6596,2/7/20,0,0,Africa
Algeria,,28.0339,1.6596,2/8/20,0,0,Africa
Algeria,,28.0339,1.6596,2/9/20,0,0,Africa
Algeria,,28.0339,1.6596,2/10/20,0,0,Africa
Algeria,,28.0339,1.6596,2/11/20,0,0,Africa
Algeria,,28.0339,1.6596,2/12/20,0,0,Africa
Algeria,,28.0339,1.6596,2/13/20,0,0,Africa
Algeria,,28.0339,1.6596,2/14/20,0,0,Africa
Algeria,,28.0339,1.6596,2/15/20,0,0,Africa
Algeria,,28.0339,1.6596,2/16/20,0,0,Africa
Algeria,,28.0339,1.6596,2/17/20,0,0,Africa
Algeria,,28.0339,1.6596,2/18/20,0,0,Africa
Algeria,,28.0339,1.6596,2/19/20,0,0,Africa
Algeria,,28.0339,1.6596,2/20/20,0,0,Africa
Algeria,,28.0339,1.6596,2/21/20,0,0,Africa
Algeria,,28.0339,1.6596,2/22/20,0,0,Africa
Algeria,,28.0339,1.6596,2/23/20,0,0,Africa
Algeria,,28.0339,1.6596,2/24/20,0,0,Africa
Algeria,,28.0339,1.6596,2/25/20,1,0,Africa
Algeria,,28.0339,1.6596,2/26/20,1,0,Africa
Algeria,,28.0339,1.6596,2/27/20,1,0,Africa
Algeria,,28.0339,1.6596,2/28/20,1,0,Africa
Algeria,,28.0339,1.6596,2/29/20,1,0,Africa
Algeria,,28.0339,1.6596,3/1/20,1,0,Africa
Algeria,,28.0339,1.6596,3/2/20,3,0,Africa
Algeria,,28.0339,1.6596,3/3/20,5,0,Africa
Algeria,,28.0339,1.6596,3/4/20,12,0,Africa
Algeria,,28.0339,1.6596,3/5/20,12,0,Africa
Algeria,,28.0339,1.6596,3/6/20,17,0,Africa
Algeria,,28.0339,1.6596,3/7/20,17,0,Africa
Algeria,,28.0339,1.6596,3/8/20,19,0,Africa
Algeria,,28.0339,1.6596,3/9/20,20,0,Africa
Algeria,,28.0339,1.6596,3/10/20,20,0,Africa
Algeria,,28.0339,1.6596,3/11/20,20,0,Africa
Algeria,,28.0339,1.6596,3/12/20,24,8,Africa
Algeria,,28.0339,1.6596,3/13/20,26,8,Africa
Algeria,,28.0339,1.6596,3/14/20,37,12,Africa
Algeria,,28.0339,1.6596,3/15/20,48,12,Africa
Algeria,,28.0339,1.6596,3/16/20,54,12,Africa
Algeria,,28.0339,1.6596,3/17/20,60,12,Africa
Algeria,,28.0339,1.6596,3/18/20,74,12,Africa
Algeria,,28.0339,1.6596,3/19/20,87,32,Africa
Algeria,,28.0339,1.6596,3/20/20,90,32,Africa
Algeria,,28.0339,1.6596,3/21/20,139,32,Africa
Algeria,,28.0339,1.6596,3/22/20,201,65,Africa
Algeria,,28.0339,1.6596,3/23/20,230,65,Africa
Algeria,,28.0339,1.6596,3/24/20,264,24,Africa
Algeria,,28.0339,1.6596,3/25/20,302,65,Africa
Algeria,,28.0339,1.6596,3/26/20,367,29,Africa
Algeria,,28.0339,1.6596,3/27/20,409,29,Africa
Algeria,,28.0339,1.6596,3/28/20,454,31,Africa
Algeria,,28.0339,1.6596,3/29/20,511,31,Africa
Algeria,,28.0339,1.6596,3/30/20,584,37,Africa
Algeria,,28.0339,1.6596,3/31/20,716,46,Africa
Algeria,,28.0339,1.6596,4/1/20,847,61,Africa
Algeria,,28.0339,1.6596,4/2/20,986,61,Africa
Algeria,,28.0339,1.6596,4/3/20,1171,62,Africa
Algeria,,28.0339,1.6596,4/4/20,1251,90,Africa
Algeria,,28.0339,1.6596,4/5/20,1320,90,Africa
Algeria,,28.0339,1.6596,4/6/20,1423,90,Africa
Algeria,,28.0339,1.6596,4/7/20,1468,113,Africa
Algeria,,28.0339,1.6596,4/8/20,1572,237,Africa
